"","site_no","station_nm","huc_cd","site_tp_cd","dec_lat_va","dec_long_va","parm_cd_D","data_type_cd_D","stat_cd_D","srs_id_D","begin_date_D","end_date_D","count_nu_D","parm_cd_N","data_type_cd_N","stat_cd_N","srs_id_N","begin_date_N","end_date_N","count_nu_N","parm_cd_P","data_type_cd_P","stat_cd_P","srs_id_P","begin_date_P","end_date_P","count_nu_P"
"50","06486000","Missouri River at Sioux City, IA","10230001","ST",42.4858276,-96.4139184,"00060","uv",NA,1645423,1991-02-22,2019-10-31,10478,"00600","qw",NA,52450988,1974-01-29,2003-06-25,152,"00665","qw",NA,153049,1974-01-29,2012-08-22,159
"51","06607500","Little Sioux River near Turin, IA","10230003","ST",41.9644323,-95.9727884,"00060","dv","00003",1645423,1942-05-07,2019-10-30,28209,"00600","qw",NA,52450988,2004-03-10,2014-09-15,126,"00665","qw",NA,153049,2004-03-10,2014-09-15,126
"52","06607500","Little Sioux River near Turin, IA","10230003","ST",41.9644323,-95.9727884,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,2004-03-10,2014-09-15,126,"00665","qw",NA,153049,2004-03-10,2014-09-15,126
"53","06609500","Boyer River at Logan, IA","10230007","ST",41.6416111,-95.7822222,"00060","dv","00003",1645423,1918-05-24,2019-10-30,32480,"00600","qw",NA,52450988,2004-03-12,2014-09-15,124,"00665","qw",NA,153049,2004-03-12,2014-09-15,125
"54","06609500","Boyer River at Logan, IA","10230007","ST",41.6416111,-95.7822222,"00060","qw",NA,1645423,1945-04-23,2014-02-12,141,"00600","qw",NA,52450988,2004-03-12,2014-09-15,124,"00665","qw",NA,153049,2004-03-12,2014-09-15,125
"55","06609500","Boyer River at Logan, IA","10230007","ST",41.6416111,-95.7822222,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,2004-03-12,2014-09-15,124,"00665","qw",NA,153049,2004-03-12,2014-09-15,125
"56","06610000","Missouri River at Omaha, NE","10230006","ST",41.25888735,-95.9225138,"00060","dv","00003",1645423,1928-09-01,2019-10-30,33297,"00600","qw",NA,52450988,1978-02-09,2019-10-08,355,"00665","qw",NA,153049,1969-07-23,2019-10-08,383
"57","06610000","Missouri River at Omaha, NE","10230006","ST",41.25888735,-95.9225138,"00060","qw",NA,1645423,1969-07-23,1975-01-21,121,"00600","qw",NA,52450988,1978-02-09,2019-10-08,355,"00665","qw",NA,153049,1969-07-23,2019-10-08,383
"58","06610000","Missouri River at Omaha, NE","10230006","ST",41.25888735,-95.9225138,"00060","uv",NA,1645423,1990-12-16,2019-10-31,10546,"00600","qw",NA,52450988,1978-02-09,2019-10-08,355,"00665","qw",NA,153049,1969-07-23,2019-10-08,383
"59","06810000","Nishnabotna River above Hamburg, IA","10240004","ST",40.60166667,-95.645,"00060","dv","00003",1645423,1922-03-01,2019-10-30,33845,"00600","qw",NA,52450988,1979-04-04,2014-09-16,212,"00665","qw",NA,153049,1969-07-30,2014-09-16,228
